x,y,10400,9830,9350,10010,9270,10480,9430,9110,9500,10560,7c:0e:ce:2a:2e:a0,7c:0e:ce:2a:2e:a1,7c:0e:ce:2a:2e:a4,58:f3:9c:9d:40:84,58:f3:9c:9d:40:81,58:f3:9c:9d:40:80,7c:0e:ce:0e:7c:e0,7c:0e:ce:0e:7c:e4,7c:0e:ce:0e:7c:e1,7c:0e:ce:15:7a:a0,7c:0e:ce:15:7a:a4,7c:0e:ce:15:7a:a1,60:e3:27:cb:f4:22,00:1e:a6:12:ba:b8,7c:0e:ce:2a:2e:a2,58:f3:9c:9d:40:82,7c:0e:ce:0e:7c:e2,7c:0e:ce:0e:7c:e3,7c:0e:ce:15:7a:a3,7c:0e:ce:15:7a:a2
0,0,28,19,15,21,16,26,13,10,13,27,-46,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,4,29,18,14,19,16,26,14,10,13,27,-48,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,7,29,20,13,22,17,26,13,11,13,27,-50,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,12,26,19,14,23,19,26,13,10,13,27,-53,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,16,29,17,14,19,18,26,13,10,13,26,-64,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,19,26,19,15,21,23,26,13,11,15,26,-68,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,23,25,17,16,19,25,27,13,11,18,27,-73,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,28,28,20,16,22,17,26,14,13,14,27,-73,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,36,34,20,17,22,19,28,13,12,14,27,-73,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
0,39,26,18,14,21,19,33,13,11,16,27,-73,-52,-53,-77,-77,-77,-80,-80,-80,-83,-83,-84,-90,-91,-53,-77,-79,-80,-84,-84
